id_player,first_activity_year,Won
D008,1983,190
M992,No data,No data
C767,2001,0
CN61,2014,0
B479,1996,0
P425,No data,No data
N243,1993,1
BT96,No data,No data
H632,2002,0
PM23,No data,No data
G267,1992,1
V732,2009,0
N525,2005,0
P343,No data,No data
HH52,No data,No data
T125,1989,14
BJ19,2011,0
L332,1995,0
KC83,2009,0
C001,1983,133
D0E3,No data,No data
CI13,1959,1
M038,1973,321
T131,1988,0
KC97,No data,No data
L326,1998,0
D0D7,2018,0
K449,1998,0
R540,No data,No data
H140,1974,5
G273,1991,0
V726,2009,0
W438,1968,1
PD89,2008,0
N531,2006,0
P357,1993,0
HH46,No data,No data
P431,1996,0
N257,1993,0
BT82,2014,0
G515,1999,0
PM37,2015,0
M986,No data,No data
L440,1998,0
MN58,2011,0
CN75,No data,No data
S138,1968,12
J031,1961,231
F623,No data,No data
AF92,2014,0
P419,1998,0
W376,2001,0
O161,1998,0
K307,1994,4
D034,1985,13
C0F6,2018,0
MN70,2011,0
BM43,2013,0
M776,1999,10
S110,1979,24
KJ01,2016,0
S676,1996,6
B323,1987,2
MI16,2007,0
R568,No data,No data
K461,1998,0
D752,2004,0
H168,No data,No data
N519,No data,No data
I276,2009,0
I262,No data,No data
S662,No data,No data
B337,1989,0
M004,1983,0
MI02,2007,0
C029,1980,57
BJ31,2010,0
K475,1999,0
D746,No data,No data
K313,1996,9
C0G2,2019,0
MN64,No data,No data
BM57,2013,0
B451,1991,0
CN49,2016,0
M762,1998,350
S104,No data,No data
AF86,2014,0
F637,No data,No data
W362,2002,0
A158,1988,3
G529,1999,0
BT55,2015,0
FA02,1923,27
H829,2008,0
PC38,2006,0
M789,1998,0
BC64,No data,No data
T858,2003,0
LC49,1983,0
L497,1999,0
KC40,2010,0
D0I0,2021,1
BD02,2004,0
S689,No data,No data
MG31,2007,0
D975,2008,0
I289,2009,0
H183,1968,2
A819,No data,No data
MP14,2012,0
KC54,No data,No data
S845,1998,0
CG08,No data,No data
R583,2001,14
MG25,2006,0
D961,2008,0
C968,2004,0
KD32,2010,0
DG01,2014,0
BT41,2013,0
GB08,2007,0
F810,2010,0
MW72,2019,0
AF79,2014,0
FA16,1949,0
N294,1998,0
LC75,No data,No data
HA13,2009,0
F838,No data,No data
GB20,2007,0
BT69,2014,0
PC04,2005,0
H815,2005,0
PD62,2007,0
AA37,2009,0
F186,1988,0
A831,No data,No data
GE46,2011,0
LD13,No data,No data
CG20,No data,No data
D791,2008,0
D949,2008,0
D0K8,No data,No data
KC68,2009,0
LD07,2011,0
D785,No data,No data
CG34,2011,0
MG19,2006,0
PD76,2008,0
F192,1988,223
V901,1953,1
AA23,2011,0
A825,2006,0
MP28,1974,0
GE52,2011,0
HA07,2009,0
GB34,2008,0
PC10,2005,0
H801,No data,No data
LC61,2011,0
C0K1,2021,0
BM94,2013,0
C203,1968,1
MK28,2011,0
KA81,2007,0
L130,2003,0
K887,No data,No data
LH36,No data,No data
T327,1998,0
J541,No data,No data
E672,2005,0
GI63,2014,0
P141,1954,131
N727,2012,0
A414,2000,0
O439,2009,0
V530,2005,0
PH47,2012,0
H430,1996,0
V256,1998,2
W148,No data,No data
A372,2000,0
P627,2001,0
E114,No data,No data
M548,1995,2
C565,1998,0
LA88,2008,0
R030,1980,0
J233,2000,4
MB82,No data,No data
C571,1998,1
G717,2003,67
V242,1998,0
A366,1998,0
P633,2000,0
P155,1965,6
N733,2011,0
V524,No data,No data
PH53,2012,0
G071,1971,41
KA95,2011,0
B109,1968,2
K893,No data,No data
T333,1998,8
J555,2012,0
E666,2008,0
I074,1998,0
W612,2009,0
O405,2008,0
D550,No data,No data
K663,No data,No data
E896,1959,5
MK14,No data,No data
B121,1966,59
KH03,1917,4
BA99,2004,0
M574,No data,No data
B647,1997,0
BO41,1954,1
C559,1998,0
ML72,No data,No data
CB87,2006,0
K105,1968,47
O363,2007,0
AD90,2014,0
F421,2000,0
O377,2007,0
F435,No data,No data
AD84,1951,0
M560,No data,No data
B653,1998,3
ML66,2010,0
CB93,No data,No data
R018,1982,0
L118,1959,76
BH33,2008,0
U011,1948,111
E882,No data,No data
MK00,2008,0
B135,1969,28
S460,1998,0
W606,2009,0
V518,No data,No data
O411,2008,5
W835,1910,45
H395,1995,1
AC09,No data,No data
K844,2005,0
ME33,No data,No data
BF00,2006,0
R795,2004,0
DB71,2011,0
KA42,2008,0
E869,2012,0
DE17,2013,0
KF24,2013,0
CB78,2008,0
G918,2005,0
FC00,2016,0
FC14,2014,0
O388,2008,0
ML99,2010,0
DE03,2011,0
KF30,2013,0
L681,2002,1
BA72,2002,0
L859,2005,0
K850,2004,0
R959,2006,0
ME27,No data,No data
K688,2003,15
R781,2004,0
DB65,2011,0
KA56,No data,No data
N928,No data,No data
PF48,2012,0
R971,2006,0
K878,2007,0
D593,2001,0
CE22,2009,0
E855,2012,0
W809,1952,4
F384,1999,0
AC35,2012,0
PF60,No data,No data
G924,2006,0
HC11,2013,0
CB44,No data,No data
LA77,2008,0
L871,No data,No data
C0R3,No data,No data
MB69,2008,0
B684,No data,No data
CB50,2008,0
LA63,2008,0
B848,2000,0
L865,2005,0
CL88,2013,0
FC28,2018,0
G930,No data,No data
AD47,2013,0
HC05,2013,0
GG50,2013,0
AC21,2011,0
PF74,No data,No data
EA47,No data,No data
R965,2007,0
E699,No data,No data
BF28,2006,0
CE36,2009,0
LF05,1925,24
E841,2012,0
DB59,2011,26
J435,2008,0
MD84,2004,0
E706,No data,No data
LI42,No data,No data
B069,1983,0
C377,1992,0
L044,1983,119
PI33,1935,24
N653,2009,0
A560,1965,3
F569,2004,0
A206,1990,0
G677,2001,0
C411,1994,0
J353,2006,0
B0C2,2016,0
C405,No data,No data
J347,2005,0
B0B6,No data,No data
W028,1981,13
V336,No data,No data
G663,2001,0
H550,2000,0
O559,2013,0
N647,2011,0
GH03,2013,0
P021,1979,206
S528,1991,0
J421,No data,No data
E712,2007,0
CJ65,No data,No data
MJ48,2008,0
O571,2013,0
F233,1993,0
AB82,No data,No data
J409,2007,0
S500,1998,0
BI53,2009,0
MJ60,No data,No data
D424,1999,33
CD95,2008,0
K717,No data,No data
D342,1987,0
MM06,No data,No data
KI77,No data,No data
N109,1987,100
G893,2009,0
GA95,No data,No data
F541,2014,0
W014,1982,81
G887,2004,0
GA81,2007,0
O203,No data,No data
D356,1998,0
MM12,2011,0
C439,1995,11
KI63,2015,7
S514,1991,0
CJ59,No data,No data
M372,1987,148
B041,1984,0
BI47,2009,1
MJ74,2008,0
CD81,2008,0
O565,2013,0
AB96,2011,0
W799,1951,2
PG28,No data,No data
DC05,No data,No data
BG74,2007,0
R839,2005,0
M399,1990,17
J390,2007,0
KI88,2015,0
L939,No data,No data
B914,No data,No data
KG50,2015,0
HB59,2012,0
H587,2000,0
G878,2006,0
J384,2006,0
B0N5,No data,No data
B900,No data,No data
R193,1987,31
CC18,2006,0
KG44,2015,0
DC11,No data,No data
MD53,2003,0
BG60,No data,No data
K924,No data,No data
T284,1997,0
N684,2010,0
AB69,No data,No data
W955,1896,16
V493,No data,No data
GF18,2014,0
BP51,2013,0
BI90,2012,0
DC39,2014,0
CD56,2008,0
BG48,2007,0
R805,2004,0
PG14,2012,0
AB41,2010,0
BP79,2013,2
GF30,2012,0
GA56,2009,0
HB65,No data,No data
F596,2005,0
G850,2004,0
L905,No data,No data
CC30,2007,0
D381,2000,0
B928,No data,No data
L911,2006,0
B0M9,2021,0
D395,1998,4
CC24,2007,0
KG78,1907,8
GA42,2009,0
MT38,1909,57
HB71,2012,205
F582,2005,0
G844,No data,No data
PG00,2011,0
AB55,2011,0
GF24,2012,0
BI84,No data,No data
CD42,2008,0
B082,1982,3
R811,2004,0
K918,2005,8
E262,No data,No data
S058,1976,522
J151,1998,0
C613,1998,0
MO38,2012,0
G475,1998,0
PL57,2014,0
A004,1980,7
GJ15,No data,No data
A762,2008,0
W558,2007,0
N451,2004,0
V646,2008,0
H020,1981,7
G313,1993,0
K529,1999,0
R420,1998,0
C175,1966,16
M158,1982,8
CH73,2013,5
T051,1968,22
MF86,2005,0
R434,1998,0
L252,No data,No data
BK79,2013,0
MF92,No data,No data
F019,2000,0
A776,No data,No data
N445,2004,0
V652,2008,0
G307,1998,0
H752,2003,0
PL43,2015,0
N323,1998,0
P545,1999,0
CO01,2015,0
KE85,2012,0
D168,No data,No data
R352,1998,0
O015,1984,26
W202,1998,0
S064,1971,28
DH46,2015,1
B531,No data,No data
MO04,2012,0
K273,2001,0
CF97,No data,No data
D626,2003,0
MH62,2007,0
BK51,2012,0
S702,1997,0
BE89,No data,No data
F031,1985,107
A0F3,2018,0
GJ29,2014,0
W564,No data,No data
A986,2008,0
A0G7,2019,0
F025,1975,29
I316,2011,0
N479,2004,0
W570,2007,0
A992,2008,0
R408,1999,0
K501,1999,0
D632,2002,118
CF83,2011,0
MH76,2007,0
BK45,2012,0
J179,1998,0
DH52,No data,No data
S070,1980,0
B525,No data,No data
M616,1994,0
MO10,No data,No data
L508,1999,0
BL23,2011,0
K267,1992,609
GC83,2009,0
W216,No data,No data
F743,2008,0
P592,2000,0
AG19,No data,No data
H785,No data,No data
PL94,2014,0
BU21,2014,0
GC68,2009,0
F970,1962,0
MV12,2014,0
KE52,2013,0
R385,1999,0
BB10,2003,0
J192,1998,0
C808,2002,0
D801,2005,221
BE76,No data,No data
MF45,2005,0
CF68,No data,No data
KB34,2008,0
S925,1999,0
V685,2008,0
MQ74,2013,0
A979,No data,No data
N492,No data,No data
V691,2009,0
V849,2012,0
D815,2006,0
BE62,2006,0
MF51,2008,0
KB20,2008,0
L291,2001,0
MH89,No data,No data
S931,2002,0
DA13,2009,2
KE46,2013,0
M831,1998,0
B0V3,No data,No data
T938,No data,No data
K298,1997,0
MA37,2000,0
H949,No data,No data
PB58,No data,No data
H791,2004,0
PL80,2016,0
BU35,2016,0
MV06,2014,0
F964,2013,0
T910,2007,0
CA32,No data,No data
C834,2001,7
PB70,1995,0
H961,No data,No data
F794,2009,0
AG25,2014,0
GC54,2009,0
MQ48,1946,2
GD32,2010,0
V861,2012,0
A0J0,2022,0
PE16,2008,0
B294,1985,6
MF79,2006,0
CF54,No data,No data
BK92,2011,150
KB08,2008,0
CH98,2015,0
D829,2006,0
BK86,2013,0
GD26,2010,0
A951,2008,0
A0K4,2023,0
PE02,2008,2
A789,2005,0
PB64,No data,No data
H975,No data,No data
AG31,2015,0
F958,No data,No data
GC40,2009,0
BU09,No data,No data
LB15,2008,0
CA26,No data,No data
T904,2004,0
A788,2007,0
V874,1953,15
A0K5,2022,0
A950,2008,0
GD27,2010,0
BK87,No data,No data
